n,m,Insert_r_average,Deletemin_r_average,Update_r_average,All_r_valid
32,205,0.0833333,0.724138,0.117647,Yes
64,601,0.16129,0.778689,0.047619,Yes
128,1618,0.0767196,0.764,0.0728477,Yes
256,6624,0.104331,0.809618,0.052795,Yes
512,26434,0.101961,0.873608,0.0495941,Yes
1024,52604,0.0742825,0.823865,0.0370655,Yes
2048,209767,0.0680189,0.854034,0.0391986,Yes
4096,84460,0.0571365,0.900338,0.039508,Yes
8192,3355588,0.0582682,0.804402,0.0369619,Yes
16384,269019,0.0455744,0.886423,0.0307882,Yes
32768,106199,0.0248482,0.885728,0.0365077,Yes
4096,168167,0.0591109,0.902435,0.0368136,Yes
16384,13420481,0.0547613,0.731081,0.0534984,Yes
2048,209510,0.0710736,0.859617,0.0357034,Yes
8192,6713838,0.0590354,0.693455,0.047785,Yes
128,2310,0.0939153,0.794667,0.0583756,Yes
512,26267,0.0761438,0.873608,0.04814,Yes
1024,52342,0.0644977,0.827375,0.0380305,Yes
