k, Avg_T(ms)
2,91.0667
3,83.7333
4,77.8667
5,72.0667
6,71.6667
7,70.6667
8,70.4667
9,70.2
10,71.0333
11,72
12,71.6
13,71.3667
14,72.1
15,72.1
16,72.6333
17,72.2333
18,72.8333
19,73.8667
20,72.2333
21,73.7333
22,73.0667
23,73.1667
24,74.8
25,73.7
26,75.7333
27,75.6333
28,76.1667
29,76.0667
30,75.7
31,75.5
32,76.5
33,77.3667
34,76.4
35,76.6667
36,77.7333
37,76.9333
38,77.8333
39,77.7667
40,77.9
41,77.1
42,78.1667
43,77.4333
44,78.2667
45,78.3333
46,78.9333
47,78.7
48,79.3667
49,80.0333
50,79.6667
51,82.7667
52,80.4333
53,79.9
54,79.7667
55,80.3
56,81.5
57,80.4333
58,80.9333
59,82.2333
60,82.4
61,83.1667
62,82.9333
63,82.1
64,82.4
65,82.6333
66,82.6667
67,82.8667
68,82.8
69,83.0667
70,83.9
71,83.9333
72,83.8667
73,84.8
74,84.1333
75,84.4333
76,84.9333
77,85.1667
78,85.1
79,85.1
80,85.2
81,86.1667
82,85.5333
83,86.7333
84,85.8
85,87.3667
86,87.2667
87,88.1667
88,86.5333
89,87.5333
90,88.1667
91,89
92,89.2
93,89.4
94,89.4
95,89.4
96,90.2333
97,90.9667
98,89.3333
99,89.6333
100,92
101,90.9333
102,92.0333
103,91.2333
104,90.9333
105,91.1667
106,91.2667
107,93.4
108,91.5
109,93.1333
110,93.1333
111,92.5333
112,93.7
113,91.8667
114,92.8667
115,93.0667
116,92.4667
117,93.3
118,92.6
119,93.7
120,94.0333
121,93.9
122,94.1
123,94.3
124,93.7
125,97.7667
126,95
127,95.3667
128,95.2
